message,is_toxic,Perspective_Class,DPCNN,Strudel,Hate_Speech,Keita_Kurita,bagofcommunities
dirty bastards�,1,1,0,1,0,1,1
stupid sun. ukraine my arse.,1,1,1,1,0,1,1
note the new __LP64__ check. we don't want to fuck 64-bit bit up like 32-bit was fucked.,1,1,1,1,1,1,1
ugh. stupid google3 _ nonsense.,1,1,1,1,0,1,1
"/me sees the missing 'e' as well
 
 Okay, aspell was full of shit.",1,1,1,1,1,1,1
this is the only new bit. stupid git.,1,1,1,1,0,1,1
"i think you need to set 'err'? i think that's true for the fstat too?
 
 (this code is fucking awful.)",1,1,1,1,1,1,1
Sneaky. Stupid ByteArrayOutputStream. It might be less surprising if you just change the fields of interest to be public + @hide,1,1,1,1,0,1,1
wait? no getrandom? bastards!,1,1,1,1,0,1,1
"Done. Argh, stupid me...",1,1,1,1,0,1,0
oh fuck :),1,1,1,1,1,1,1
"ugh. it's not magic --- you've hit on the explanation for L394. fucking C programmers.
 
 done. L414 too.",1,1,1,1,1,1,1
"i had forgotten, but that currently fucks up all the indentation.",1,1,1,1,1,1,1
"I don't want to mention GC in here.. this API shouldn't be here anyway, if you're using it and you're an idiot you deserve to be burnt.",1,1,1,1,0,1,1
"Oh, this definitely sucks ;-(. +dbrazdil",1,1,1,1,0,1,0
(or just remove this stupid comment.),1,1,1,1,0,1,1
"stupid API!
 see next patch.",1,1,1,1,0,1,1
Shit. I didn't think about reusing the output array. Hrm.,1,1,1,1,1,1,1
"or just use uint64_t flags. we'll have moved on to other things before the other 59 flags get used...
 
 actually, fuck it --- you can use your last flag as ANDROID_DLEXT_USE_FLAGS2 and add a flags2 field anyway.",1,1,1,1,1,1,1
TODO: don't include the entire fucking world!,1,1,1,1,1,1,1
i'm just going to kill WaitForService() because it is dumb,1,1,1,1,0,1,1
"strcmp
 
 we need to stop repeating this mistake. i'm pretty sure you don't intend to support ""adb features-right-now-you-fucker!"" :-)",1,1,1,1,0,1,1
abort is safer. the compiler can fuck you over here if you ever do add an enum value but forget to fix the switch.,1,1,1,1,1,1,1
"dammit, new workspace config, due to dead HD...",1,1,0,1,0,1,1
"These log tags are going to be kind of shit. Why not just let the user override the tag if they want to? i.e. VolleyLog.setTag(""Mileage"")",1,1,1,1,1,1,1
"no, i fucked this one up. it's in the right place, but it should be video/...",1,1,1,1,1,1,1
these seem like bullshit to me. we should fix clang and/or disable this warning.,1,1,1,1,0,1,1
"Hmmmph, I'm not sure why the f***ing IDE is adding them.",1,1,1,1,0,1,0
"Could we make this conditional? dalvikvm uses libbacktrace, but adding llvm as a dependency for dalvikm sucks.",1,1,1,1,0,0,0
"you haven't met the prebuilt host gcc with its own broken copy of glibc.
 
 you're fucked whatever you do.",1,1,1,1,1,1,1
"i don't think it is. at least for me, the kernel says ""fuck off"" if i try to do that. well, EEXIST.
 
 (which makes sense since there's no way to represent this configuration.)",1,1,1,1,1,1,1
warn that someone appears to be fucking with us? (or really broken...),1,1,1,1,1,1,1
damn,1,1,1,1,0,1,1
"yea, this kinda sucks. I'll think about how we can improve this.",1,1,1,1,0,1,0
"yarr, brain fart.",1,1,1,1,0,1,1
